Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Income Tax Paid Supplemental Data,GS,"2,389,000","4,555,000","6,195,000","2,754,000"
Interest Paid Supplemental Data,GS,"60,026,000","19,022,000","5,521,000","9,091,000"
Capital Expenditure,GS,"-2,316,000","-3,748,000","-4,667,000","-6,309,000"
Issuance of Capital Stock,GS,"1,496,000",0,"2,172,000","349,000"
Issuance of Debt,GS,"50,200,000","86,322,000","97,512,000","55,323,000"
Repayment of Debt,GS,"-57,636,000","-46,213,000","-59,198,000","-59,188,000"
Repurchase of Capital Stock,GS,"-6,796,000","-3,500,000","-7,875,000","-2,278,000"
Free Cash Flow,GS,"-14,903,000","4,960,000","1,631,000","-24,844,000"
Operating Cash Flow,SCHW,"19,587,000","2,057,000","2,118,000","6,852,000"
Cash Flow from Continuing Operating Activities,SCHW,"19,587,000","2,057,000","2,118,000","6,852,000"
Net Income from Continuing Operations,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Depreciation Amortization Depletion,SCHW,"1,338,000","1,248,000","1,164,000","604,000"
Depreciation & amortization,SCHW,"1,338,000","1,248,000","1,164,000","604,000"
Depreciation,SCHW,"804,000","652,000","549,000","414,000"
Amortization,SCHW,"534,000","596,000","615,000","190,000"
Amortization of Intangibles,SCHW,"534,000","596,000","615,000","190,000"
Deferred Tax,SCHW,"-478,000","-18,000","53,000","-138,000"
Deferred Income Tax,SCHW,"-478,000","-18,000","53,000","-138,000"
Other non-cash items,SCHW,"702,000","490,000","372,000","349,000"
Amortization of Financing Costs And Discounts,SCHW,"830,000","1,375,000","2,346,000","1,586,000"
Stock based compensation,SCHW,"320,000","366,000","254,000","204,000"
Change in working capital,SCHW,"11,808,000","-8,587,000","-7,926,000","948,000"
Change in Receivables,SCHW,"-2,135,000","23,947,000","-26,168,000","-14,609,000"
Changes in Account Receivables,SCHW,"-2,135,000","23,947,000","-26,168,000","-14,609,000"
Change in Payables And Accrued Expense,SCHW,"-7,796,000","-31,759,000","22,792,000","25,761,000"
Change in Payable,SCHW,"-12,652,000","-28,233,000","21,470,000","22,909,000"
Change in Account Payable,SCHW,"-12,652,000","-28,233,000","21,470,000","22,909,000"
Change in Accrued Expense,SCHW,"4,856,000","-3,526,000","1,322,000","2,852,000"
Change in Other Current Assets,SCHW,"21,739,000","-775,000","-4,550,000","-10,204,000"
Change in Other Working Capital,SCHW,-,-,"-3,398,000","-10,208,000"
Investing Cash Flow,SCHW,"57,411,000","32,048,000","-75,663,000","-125,851,000"
Cash Flow from Continuing Investing Activities,SCHW,"57,411,000","32,048,000","-75,663,000","-125,851,000"
Net Investment Purchase And Sale,SCHW,"58,947,000","39,351,000","-63,514,000","-134,123,000"
Purchase of Investment,SCHW,"-1,487,000","-51,009,000","-171,732,000","-202,171,000"
Sale of Investment,SCHW,"60,434,000","90,360,000","108,218,000","68,048,000"
Net Proceeds Payment for Loan,SCHW,"99,000","-5,788,000","-10,845,000","-5,675,000"
Net PPE Purchase And Sale,SCHW,"-700,000","-971,000","-916,000","-631,000"
Purchase of PPE,SCHW,"-700,000","-971,000","-916,000","-631,000"
Net Business Purchase And Sale,SCHW,-,0,0,"14,748,000"
Sale of Business,SCHW,-,0,0,"14,748,000"
Net Other Investing Changes,SCHW,"-935,000","-544,000","-388,000","-170,000"
Financing Cash Flow,SCHW,"-61,245,000","-68,723,000","96,323,000","143,982,000"
Cash Flow from Continuing Financing Activities,SCHW,"-61,245,000","-68,723,000","96,323,000","143,982,000"
Net Issuance Payments of Debt,SCHW,"21,162,000","14,126,000","10,066,000","2,370,000"
Net Long Term Debt Issuance,SCHW,"19,266,000","14,335,000","5,214,000","2,370,000"
Long Term Debt Issuance,SCHW,"55,297,000","15,475,000","7,036,000","3,070,000"
Long Term Debt Payments,SCHW,"-36,031,000","-1,140,000","-1,822,000","-700,000"
Net Short Term Debt Issuance,SCHW,"1,896,000","-209,000","4,852,000",0
Short Term Debt Issuance,SCHW,"17,000,000","20,891,000","11,107,000","1,234,000"
Short Term Debt Payments,SCHW,"-15,104,000","-21,100,000","-6,255,000","-1,234,000"
Net Common Stock Issuance,SCHW,"-2,842,000","-3,395,000",0,0
Common Stock Payments,SCHW,"-2,842,000","-3,395,000",0,0
Net Preferred Stock Issuance,SCHW,"-467,000","-260,000","2,206,000","4,940,000"
Preferred Stock Issuance,SCHW,0,"740,000","2,806,000","4,940,000"
Preferred Stock Payments,SCHW,"-467,000","-1,000,000","-600,000",0
Cash Dividends Paid,SCHW,"-2,276,000","-2,110,000","-1,822,000","-1,280,000"
Proceeds from Stock Option Exercised,SCHW,"49,000","64,000","221,000","79,000"
Net Other Financing Charges,SCHW,"-100,000","-94,000","-104,000","-55,000"
End Cash Position,SCHW,"74,473,000","58,720,000","93,338,000","70,560,000"
Changes in Cash,SCHW,"15,753,000","-34,618,000","22,778,000","24,983,000"
Beginning Cash Position,SCHW,"58,720,000","93,338,000","70,560,000","45,577,000"
Income Tax Paid Supplemental Data,SCHW,"1,620,000","2,130,000","2,053,000","803,000"
Interest Paid Supplemental Data,SCHW,"5,623,000","1,355,000","501,000","434,000"
Capital Expenditure,SCHW,"-700,000","-971,000","-916,000","-631,000"
Issuance of Capital Stock,SCHW,0,"740,000","2,806,000","4,940,000"
Issuance of Debt,SCHW,"72,297,000","36,366,000","18,143,000","4,304,000"
Repayment of Debt,SCHW,"-51,135,000","-22,240,000","-8,077,000","-1,934,000"
Repurchase of Capital Stock,SCHW,"-3,309,000","-4,395,000","-600,000",0
Free Cash Flow,SCHW,"18,887,000","1,086,000","1,202,000","6,221,000"
Operating Cash Flow,MUFG,"13,431,773,000","9,839,899,000","34,904,946,000",-
Cash Flow from Continuing Operating Activities,MUFG,"13,431,766,000",-,"34,904,947,000","1,489,857,000"
Net Income from Continuing Operations,MUFG,"1,569,923,000","-3,472,433,000","1,042,036,000",-
Operating Gains Losses,MUFG,"-2,119,927,000",-,"-1,849,586,000","-2,788,581,000"
Gain Loss On Sale of PPE,MUFG,"918,000","-225,395,000","-16,630,000",-
Net Foreign Currency Exchange Gain Loss,MUFG,"-2,255,057,000",-,"-1,270,550,000",0
Gain Loss On Investment Securities,MUFG,"481,930,000","363,250,000","-240,645,000",-
Earnings Losses from Equity Investments,MUFG,"-425,829,000",-,"-321,761,000","345,199,000"
Pension And Employee Benefit Expense,MUFG,"78,111,000","18,051,000","2,804,000",-
Depreciation Amortization Depletion,MUFG,"334,636,000",-,"355,450,000",-
Depreciation & amortization,MUFG,"334,636,000",-,"355,450,000",-
Depreciation,MUFG,"314,708,000",-,"338,617,000",-
Amortization,MUFG,"19,928,000","174,133,000","16,833,000",-
Amortization of Intangibles,MUFG,"19,928,000",-,"16,833,000",-
Deferred Tax,MUFG,-,"11,207,231,000","266,273,000","-246,817,000"
Deferred Income Tax,MUFG,-,"333,547,000","266,273,000","227,626,000"
Other non-cash items,MUFG,"-306,504,000","227,626,000","633,341,000",-
Amortization of Financing Costs And Discounts,MUFG,-,-,"59,614,000","-472,876,000"
Asset Impairment Charge,MUFG,"18,167,000","-1,909,694,000","41,240,000",-
Provision for Loan Lease And Other Losses,MUFG,-,-,"484,210,000","-249,370,000"
Unrealized Gain Loss On Investment Securities,MUFG,-,"-2,202,726,000","5,002,000",-
Change in working capital,MUFG,"14,413,010,000",-,"34,793,939,000",-
Change in Receivables,MUFG,"153,662,000",-,"15,787,000",-
Change in Payables And Accrued Expense,MUFG,"83,926,000",-,"-214,910,000","-97,893,977,000"
Change in Payable,MUFG,"83,926,000","96,739,005,000","-214,910,000",-
Change in Loans,MUFG,"1,702,275,000",-,"10,800,768,000","-19,019,000"
Change in Other Current Assets,MUFG,"-57,307,000","-101,275,000","-568,723,000",-
Change in Other Current Liabilities,MUFG,"2,618,027,000",-,"-91,305,000","-281,451,000"
Change in Other Working Capital,MUFG,"9,912,427,000","-282,728,000","24,852,322,000",-
Taxes Refund Paid,MUFG,"-477,532,000",-,"-111,474,000","-689,742,000"
Investing Cash Flow,MUFG,"-10,675,096,000","-725,593,000","-10,140,343,000",-
Cash Flow from Continuing Investing Activities,MUFG,"-10,675,096,000",-,"-10,140,343,000","-57,542,000"
Capital Expenditure Reported,MUFG,-,"-1,080,428,000","-116,707,000",-
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,MUFG,-,-,"9,833,348,000",-
Net Investment Purchase And Sale,MUFG,"-8,565,674,000","-563,389,000","-9,432,625,000",-
Purchase of Investment,MUFG,"-103,993,341,000",-,"-116,742,577,000","226,091,000"
Sale of Investment,MUFG,"95,427,667,000","-789,480,000","107,309,952,000",-
Net Proceeds Payment for Loan,MUFG,-,-,"2,939,996,000","-153,116,000"
Net PPE Purchase And Sale,MUFG,"-71,787,000","5,399,000","-84,445,000",-
Purchase of PPE,MUFG,"-118,147,000",-,"-133,671,000","-334,619,000"
Sale of PPE,MUFG,"46,360,000","-334,619,000","49,226,000",-
Net Intangibles Purchase And Sale,MUFG,"-283,298,000",-,"-254,896,000","110,763,205,000"
Purchase of Intangibles,MUFG,"-283,478,000","6,556,745,000","-263,119,000",-
Sale of Intangibles,MUFG,"180,000",-,"8,223,000","102,980,711,000"
Net Business Purchase And Sale,MUFG,"-1,784,755,000","-3,139,000","-23,759,000",-
Purchase of Business,MUFG,"-1,784,755,000",-,"-23,759,000",-
Sale of Business,MUFG,0,"-384,003,000",0,-
Net Other Investing Changes,MUFG,"30,418,000",-,"-344,618,000","226,091,000"
Financing Cash Flow,MUFG,"-977,138,000","-789,480,000","-436,071,000",-
Cash Flow from Continuing Financing Activities,MUFG,"-977,138,000",-,"-436,072,000","9,455,896,000"
Operating Cash Flow,C,"-73,416,000","25,069,000","47,090,000","-23,488,000"
Cash Flow from Continuing Operating Activities,C,"-73,416,000","25,069,000","47,090,000","-23,488,000"
Net Income from Continuing Operations,C,"9,229,000","15,076,000","21,945,000","11,067,000"
Operating Gains Losses,C,"-1,327,000","-330,000","241,000","-1,591,000"
Gain Loss On Investment Securities,C,"-188,000","-67,000","-665,000","-1,756,000"
Depreciation Amortization Depletion,C,"4,560,000","4,262,000","3,964,000","3,937,000"
Depreciation & amortization,C,"4,560,000","4,262,000","3,964,000","3,937,000"
Deferred Tax,C,"-2,416,000","-1,141,000","1,413,000","-2,333,000"
Deferred Income Tax,C,"-2,416,000","-1,141,000","1,413,000","-2,333,000"
Other non-cash items,C,"6,739,000","-18,125,000","-15,559,000","1,246,000"
Asset Impairment Charge,C,0,"535,000",0,0
Provision for Loan Lease And Other Losses,C,"9,186,000","5,239,000","-3,778,000","17,368,000"
Change in working capital,C,"-99,387,000","19,553,000","38,864,000","-53,182,000"
Change in Receivables,C,-,-,-,"-3,066,000"
Change in Loans,C,"1,929,000","4,421,000","-3,809,000","1,202,000"
Change in Other Current Assets,C,"-6,361,000","-4,992,000","-2,139,000","-1,012,000"
Change in Other Current Liabilities,C,"3,587,000","5,343,000","6,839,000","558,000"
Change in Other Working Capital,C,"-98,542,000","14,781,000","37,973,000","-53,930,000"
Investing Cash Flow,C,"-8,459,000","-79,455,000","-110,746,000","-92,445,000"
Cash Flow from Continuing Investing Activities,C,"-8,459,000","-79,455,000","-110,746,000","-92,445,000"
Capital Expenditure Reported,C,"-6,583,000","-5,632,000","-4,119,000","-3,446,000"
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,C,"19,701,000","-38,113,000","-32,576,000","-43,390,000"
Net Investment Purchase And Sale,C,"18,649,000","-28,841,000","-74,435,000","-62,196,000"
Purchase of Investment,C,"-236,512,000","-261,650,000","-342,430,000","-332,387,000"
Sale of Investment,C,"255,161,000","232,809,000","267,995,000","270,191,000"
Net Proceeds Payment for Loan,C,"-39,724,000","-11,882,000","1,745,000","15,744,000"
Proceeds from Loans,C,"4,801,000","4,709,000","2,918,000","15,744,000"
Payment for Loans,C,"-44,525,000","-16,591,000","-1,173,000","14,249,000"
Net PPE Purchase And Sale,C,"56,000","63,000","190,000","50,000"
Sale of PPE,C,"56,000","63,000","190,000","50,000"
Net Business Purchase And Sale,C,"-1,393,000","5,741,000",0,0
Purchase of Business,C,"-1,393,000",-,-,-
Sale of Business,C,-,"5,741,000",0,0
Net Other Investing Changes,C,"835,000","-791,000","-1,551,000","793,000"
Financing Cash Flow,C,"687,000","137,763,000","17,272,000","233,595,000"
Cash Flow from Continuing Financing Activities,C,"687,000","137,763,000","17,272,000","233,595,000"
Change in Federal Funds And Securities Sold for Repurchase,C,"75,663,000","11,159,000","-8,240,000","33,186,000"
Net Issuance Payments of Debt,C,"-8,779,000","66,786,000","-5,833,000","-2,479,000"
Net Long Term Debt Issuance,C,"860,000","47,663,000","-4,292,000","13,056,000"
Long Term Debt Issuance,C,"65,819,000","104,748,000","70,658,000","76,458,000"
Long Term Debt Payments,C,"-64,959,000","-57,085,000","-74,950,000","-63,402,000"
Net Short Term Debt Issuance,C,"-9,639,000","19,123,000","-1,541,000","-15,535,000"
Net Common Stock Issuance,C,"-1,977,000","-3,250,000","-7,601,000","-2,925,000"
Common Stock Payments,C,"-1,977,000","-3,250,000","-7,601,000","-2,925,000"
Net Preferred Stock Issuance,C,"-1,406,000",0,"-485,000","1,495,000"
Preferred Stock Issuance,C,"2,739,000",0,"3,300,000","2,995,000"
Preferred Stock Payments,C,"-4,145,000",0,"-3,785,000","-1,500,000"
Cash Dividends Paid,C,"-5,212,000","-5,003,000","-5,198,000","-5,352,000"
Net Other Financing Charges,C,"-329,000","-344,000","-337,000","-411,000"
End Cash Position,C,"260,932,000","342,025,000","262,033,000","309,615,000"
Changes in Cash,C,"-81,188,000","83,377,000","-46,384,000","117,662,000"
Effect of Exchange Rate Changes,C,"95,000","-3,385,000","-1,198,000","-1,966,000"
Beginning Cash Position,C,"342,025,000","262,033,000","309,615,000","193,919,000"
Income Tax Paid Supplemental Data,C,"5,727,000","3,733,000","4,028,000","4,797,000"
Interest Paid Supplemental Data,C,"72,989,000","22,615,000","7,143,000","12,094,000"
Capital Expenditure,C,"-6,583,000","-5,632,000","-4,119,000","-3,446,000"
Issuance of Capital Stock,C,"2,739,000",0,"3,300,000","2,995,000"
Issuance of Debt,C,"65,819,000","104,748,000","70,658,000","76,458,000"
Repayment of Debt,C,"-64,959,000","-57,085,000","-74,950,000","-63,402,000"
Repurchase of Capital Stock,C,"-6,122,000","-3,250,000","-11,386,000","-4,425,000"
Free Cash Flow,C,"-79,999,000","19,437,000","42,971,000","-26,934,000"
Operating Cash Flow,TD,"-65,302,000","38,949,000","50,129,000","229,607,000"
Cash Flow from Continuing Operating Activities,TD,"-65,302,000","38,949,000","50,129,000","229,607,000"
Net Income from Continuing Operations,TD,"10,782,000","17,429,000","14,298,000","11,895,000"
Operating Gains Losses,TD,"-816,000","-2,048,000","-799,000","-2,664,000"
Gain Loss On Sale of Business,TD,0,"-997,000",0,-
Gain Loss On Investment Securities,TD,"48,000","-60,000","-14,000","-40,000"
Earnings Losses from Equity Investments,TD,"-864,000","-991,000","-785,000","-2,624,000"
Depreciation Amortization Depletion,TD,"1,911,000","1,766,000","2,066,000","2,141,000"
Depreciation & amortization,TD,"1,911,000","1,766,000","2,066,000","2,141,000"
Depreciation,TD,"1,239,000","1,167,000","1,360,000","1,324,000"
Amortization,TD,"672,000","599,000","706,000","817,000"
Amortization of Intangibles,TD,"672,000","599,000","706,000","817,000"
Deferred Tax,TD,"-1,256,000","502,000","258,000","-1,065,000"
Deferred Income Tax,TD,"-1,256,000","502,000","258,000","-1,065,000"
Provision for Loan Lease And Other Losses,TD,"2,933,000","1,067,000","-224,000","7,242,000"
Change in working capital,TD,"-78,856,000","20,233,000","34,530,000","212,058,000"
Change in Loans,TD,"-78,691,000","-115,638,000","-46,103,000","20,176,000"
Change in Other Working Capital,TD,"-165,000","135,871,000","80,633,000","191,882,000"
Investing Cash Flow,TD,"76,226,000","-31,895,000","-45,268,000","-223,319,000"
Cash Flow from Continuing Investing Activities,TD,"76,226,000","-31,895,000","-45,268,000","-223,319,000"
Proceeds Payment in Interest Bearing Deposits in Bank,TD,"41,446,000","30,455,000","-729,000","-138,266,000"
Net Investment Purchase And Sale,TD,"37,248,000","-63,375,000","-41,552,000","-83,792,000"
Purchase of Investment,TD,"-51,323,000","-180,695,000","-174,952,000","-197,272,000"
Sale of Investment,TD,"88,571,000","117,320,000","133,400,000","113,480,000"
Net Proceeds Payment for Loan,TD,-,-,-,"-93,912,000"
Proceeds from Loans,TD,-,-,-,"52,791,000"
Payment for Loans,TD,-,-,-,"-146,703,000"
Net PPE Purchase And Sale,TD,"-1,844,000","-1,454,000","-1,129,000","-1,261,000"
Purchase of PPE,TD,"-1,844,000","-1,454,000","-1,129,000","-1,261,000"
Net Business Purchase And Sale,TD,"-624,000","2,479,000","-1,858,000",0
Purchase of Business,TD,-,-,-,0
Financing Cash Flow,TD,"-12,847,000","-4,819,000","-5,036,000","-4,746,000"
Cash Flow from Continuing Financing Activities,TD,"-12,847,000","-4,819,000","-5,036,000","-4,746,000"
Net Issuance Payments of Debt,TD,"-2,359,000","-657,000","-550,000","-126,000"
Net Long Term Debt Issuance,TD,"-2,359,000","-657,000","-550,000","-126,000"
Long Term Debt Issuance,TD,-,"6,000",0,"3,000,000"
Long Term Debt Payments,TD,"-2,359,000","-663,000","-550,000","-3,126,000"
Net Common Stock Issuance,TD,"-4,263,000","-2,026,000","24,000","-804,000"
Common Stock Issuance,TD,"8,571,000","11,276,000","11,088,000","8,917,000"
Common Stock Payments,TD,"-12,834,000","-13,302,000","-11,064,000","-9,721,000"
Net Preferred Stock Issuance,TD,"-400,000","4,529,000","1,045,000","-156,000"
Preferred Stock Issuance,TD,0,"5,529,000","1,745,000",0
Preferred Stock Payments,TD,"-400,000","-1,000,000","-700,000","-156,000"
Cash Dividends Paid,TD,"-5,825,000","-6,665,000","-5,555,000","-3,660,000"
Common Stock Dividend Paid,TD,-,-,-,"-5,043,000"
End Cash Position,TD,"6,721,000","8,556,000","5,931,000","6,445,000"
Changes in Cash,TD,"-1,923,000","2,235,000","-175,000","1,542,000"
Effect of Exchange Rate Changes,TD,"88,000","390,000","-339,000","40,000"
Beginning Cash Position,TD,"8,556,000","5,931,000","6,445,000","4,863,000"
Income Tax Paid Supplemental Data,TD,"3,036,000","4,404,000","4,071,000","2,285,000"
Interest Paid Supplemental Data,TD,"48,179,000","12,523,000","5,878,000","11,587,000"
Capital Expenditure,TD,"-1,844,000","-1,454,000","-1,129,000","-1,261,000"
Issuance of Capital Stock,TD,"8,571,000","16,805,000","12,833,000","8,917,000"
Issuance of Debt,TD,-,"6,000",0,"3,000,000"
Repayment of Debt,TD,"-2,359,000","-663,000","-550,000","-3,126,000"
Repurchase of Capital Stock,TD,"-13,234,000","-14,302,000","-11,764,000","-9,877,000"
Free Cash Flow,TD,"-67,146,000","37,495,000","49,000,000","228,346,000"
Operating Cash Flow,UBS,"86,068,000","14,647,000","31,425,000","36,958,000"
Cash Flow from Continuing Operating Activities,UBS,"86,067,000","14,646,000","31,426,000","36,959,000"
Net Income from Continuing Operations,UBS,"27,866,000","7,661,000","7,486,000","6,572,000"
Operating Gains Losses,UBS,"246,000","-1,502,000","-335,000","-782,000"
Earnings Losses from Equity Investments,UBS,"348,000","-32,000","-105,000","-84,000"
Depreciation Amortization Depletion,UBS,"3,750,000","2,061,000","2,118,000","2,126,000"
Depreciation & amortization,UBS,"3,750,000","2,061,000","2,118,000","2,126,000"
Depreciation,UBS,"3,750,000","2,061,000","2,118,000","2,126,000"
Amortization,UBS,-,-,-,"57,000"
Amortization of Intangibles,UBS,-,-,-,"57,000"
Deferred Tax,UBS,"-694,000","494,000","434,000","352,000"
Deferred Income Tax,UBS,"-694,000","494,000","434,000","352,000"
Other non-cash items,UBS,"-34,388,000","-10,742,000","3,901,000","-4,831,000"
Provision for Loan Lease And Other Losses,UBS,"1,037,000","29,000","-148,000","694,000"
Change in working capital,UBS,"90,103,000","18,228,000","19,103,000","33,829,000"
Change in Loans,UBS,"22,360,000","7,972,000","-29,776,000","31,323,000"
Change in Other Working Capital,UBS,"67,743,000","10,256,000","48,879,000","2,506,000"
Taxes Refund Paid,UBS,"-1,852,000","-1,582,000","-1,134,000","-1,002,000"
Investing Cash Flow,UBS,"103,228,000","-12,447,000","-2,119,000","-6,785,000"
Cash Flow from Continuing Investing Activities,UBS,"103,228,000","-12,447,000","-2,119,000","-6,786,000"
Net Investment Purchase And Sale,UBS,"-3,779,000","-12,692,000","-1,165,000","-5,926,000"
Purchase of Investment,UBS,"-14,244,000","-31,491,000","-5,672,000","-10,456,000"
Sale of Investment,UBS,"10,465,000","18,799,000","4,507,000","4,530,000"
Net PPE Purchase And Sale,UBS,"-1,620,000","-1,482,000","-1,546,000","-1,488,000"
Purchase of PPE,UBS,"-1,685,000","-1,643,000","-1,841,000","-1,854,000"
Sale of PPE,UBS,"65,000","161,000","295,000","366,000"
Net Business Purchase And Sale,UBS,"117,000","1,727,000","592,000","628,000"
Purchase of Business,UBS,"-4,000","-3,000","-1,000","-46,000"
Sale of Business,UBS,"121,000","1,730,000","593,000","674,000"
Net Other Investing Changes,UBS,"108,510,000",-,-,"1,000"
Financing Cash Flow,UBS,"-58,262,000","-9,094,000","10,345,000","12,432,000"
Cash Flow from Continuing Financing Activities,UBS,"-58,262,000","-9,095,000","10,346,000","12,433,000"
Net Issuance Payments of Debt,UBS,"-53,083,000","-804,000","15,270,000","17,002,000"
Net Long Term Debt Issuance,UBS,"-56,252,000","11,445,000","18,363,000","-6,843,000"
Long Term Debt Issuance,UBS,"109,735,000","79,115,000","98,272,000","80,255,000"
Long Term Debt Payments,UBS,"-165,987,000","-67,670,000","-79,909,000","-87,098,000"
Net Short Term Debt Issuance,UBS,"3,169,000","-12,249,000","-3,093,000","23,845,000"
Net Common Stock Issuance,UBS,"-2,779,000","-6,006,000","-3,341,000","-1,387,000"
Common Stock Payments,UBS,-,"-6,006,000","-3,341,000","-1,387,000"
Cash Dividends Paid,UBS,"-1,679,000","-1,668,000","-1,301,000","-2,607,000"
Common Stock Dividend Paid,UBS,"-1,679,000","-1,668,000","-1,301,000","-2,607,000"
Net Other Financing Charges,UBS,"-721,000","-616,000","-283,000","-576,000"
End Cash Position,UBS,"340,311,000","195,321,000","207,875,000","173,531,000"
Changes in Cash,UBS,"131,034,000","-6,894,000","39,651,000","42,605,000"
Effect of Exchange Rate Changes,UBS,"13,955,000","-5,659,000","-5,307,000","11,052,000"
Beginning Cash Position,UBS,"195,321,000","207,875,000","173,531,000","119,873,000"
Interest Paid Supplemental Data,UBS,"35,969,000","8,198,000","4,707,000","6,320,000"
Capital Expenditure,UBS,"-1,685,000","-1,643,000","-1,841,000","-1,854,000"
Issuance of Debt,UBS,"109,735,000","79,115,000","98,272,000","80,255,000"
Repayment of Debt,UBS,"-165,987,000","-67,670,000","-79,909,000","-87,098,000"
Repurchase of Capital Stock,UBS,-,"-6,006,000","-3,341,000","-1,387,000"
Free Cash Flow,UBS,"84,383,000","13,004,000","29,584,000","35,104,000"
Operating Cash Flow,IBN,"-37,711,921","581,114,301","1,380,152,968",-
Cash Flow from Continuing Operating Activities,IBN,"-37,711,921",-,"1,380,152,968","335,675,367"
Net Income from Continuing Operations,IBN,"458,300,782","18,264,235","240,486,799",-
Operating Gains Losses,IBN,"26,510,876",-,"-22,413,273","18,320,870"
Gain Loss On Sale of PPE,IBN,"-542,579","14,794,572","63,424",-
Gain Loss On Investment Securities,IBN,"27,053,455",-,"-22,476,697","84,354,125"
Depreciation Amortization Depletion,IBN,"16,455,886","18,320,870","14,713,701",-
Depreciation & amortization,IBN,"16,455,886",-,"14,713,701",-
Other non-cash items,IBN,"55,482,301","175,174,482","165,723,883",-
Amortization of Securities,IBN,-,-,"-22,476,697","46,655,269"
Stock based compensation,IBN,"5,180,508","329,993,864","77,611",-
Provision for Loan Lease And Other Losses,IBN,-,-,"110,315,100","-49,817,733"
Change in working capital,IBN,"-490,888,016","-393,214,419","1,019,900,110",-
Change in Loans,IBN,"-1,638,931,648",-,"-968,932,842","-375,789,070"
Change in Other Current Assets,IBN,"-166,076,201","-17,425,349","4,276,368",-
Change in Other Current Liabilities,IBN,"277,742,529",-,"302,522,352","1,174,397"
Change in Other Working Capital,IBN,"1,036,377,304","174,510,007","1,682,034,232",-
Taxes Refund Paid,IBN,"-108,754,258",-,"-38,335,863","180,382,578"
Investing Cash Flow,IBN,"-680,053,222","10,946,390","-629,869,109",-
Cash Flow from Continuing Investing Activities,IBN,"-680,053,222",-,"-629,869,109","-346,030,278"
Net Investment Purchase And Sale,IBN,"-658,250,590","169,436,188","-613,108,700",-
Net PPE Purchase And Sale,IBN,"-21,802,632",-,"-16,760,409","7,979,764"
Purchase of PPE,IBN,"-24,676,808","-13,852,335","-16,882,058",-
Sale of PPE,IBN,"2,874,176",-,"121,649","1,831,259,832"
Financing Cash Flow,IBN,"247,907,176","362,409,889","-546,667,701",-
Cash Flow from Continuing Financing Activities,IBN,"247,907,176",-,"-546,667,701","1,475,705,302"
Net Issuance Payments of Debt,IBN,"273,280,948","-5,586,916","-701,268,022",-
Net Long Term Debt Issuance,IBN,"148,443,988",-,"-233,518,984","7,979,764"
Long Term Debt Issuance,IBN,"417,361,966","356,976,668","294,215,131",-
Long Term Debt Payments,IBN,"-268,917,978",-,"-527,734,115","562,514,555"
Operating Cash Flow,BNPQY,"-34,241,000","-52,837,000","42,376,000","139,324,000"
Investing Cash Flow,BNPQY,"7,304,000","-2,163,000","-1,182,000","-851,000"
Financing Cash Flow,BNPQY,"-4,676,000","9,250,000","14,516,000","18,524,000"
End Cash Position,BNPQY,"282,579,000","317,698,000","362,418,000","306,601,000"
Changes in Cash,BNPQY,"-31,613,000","-45,750,000","55,710,000","156,997,000"
Effect of Exchange Rate Changes,BNPQY,"-3,506,000","1,030,000","107,000","-2,614,000"
Beginning Cash Position,BNPQY,"317,698,000","362,418,000","306,601,000","152,218,000"
Capital Expenditure,BNPQY,"-2,216,000","-2,529,000","-1,664,000","-773,000"
Free Cash Flow,BNPQY,"-36,457,000","-55,366,000","40,712,000","138,551,000"
Operating Cash Flow,SMFG,"-5,895,185,000","1,545,423,000","18,795,951,000","8,787,848,000"
Cash Flow from Continuing Operating Activities,SMFG,"-5,895,186,000","282,751,000","18,795,951,000","929,588,000"
Net Income from Continuing Operations,SMFG,"1,098,472,000","-893,269,000","672,237,000","54,000"
Operating Gains Losses,SMFG,"-867,787,000","179,888,000","-921,282,000","-645,090,000"
Gain Loss On Sale of PPE,SMFG,"3,412,000","-167,239,000","-4,096,000","-24,031,000"
Net Foreign Currency Exchange Gain Loss,SMFG,"-681,131,000",-,"-398,722,000","-54,542,000"
Gain Loss On Investment Securities,SMFG,"-50,788,000","241,916,000","-174,302,000","317,074,000"
Earnings Losses from Equity Investments,SMFG,"-55,461,000","209,198,000","-24,972,000","222,298,000"
Pension And Employee Benefit Expense,SMFG,"-83,819,000","19,618,000","-319,190,000","17,533,000"
Depreciation Amortization Depletion,SMFG,"267,928,000","1,014,624,000","227,180,000","-1,830,786,000"
Depreciation & amortization,SMFG,"267,928,000","108,920,000","227,180,000","249,478,000"
Depreciation,SMFG,"238,696,000","7,096,443,000","207,815,000","1,729,124,000"
Amortization,SMFG,"29,232,000","26,248,000","19,365,000","1,497,813,000"
Amortization of Intangibles,SMFG,"29,232,000","458,581,000","19,365,000","-503,615,000"
Other non-cash items,SMFG,"-1,616,333,000","99,792,000","-1,526,573,000","5,598,630,000"
Asset Impairment Charge,SMFG,"59,045,000","-1,201,792,000","42,525,000","-383,080,000"
Provision for Loan Lease And Other Losses,SMFG,-,"1,917,652,000","277,085,000","-285,779,000"
Change in working capital,SMFG,"-6,067,445,000","-2,992,719,000","19,091,387,000","-2,406,810,000"
